District,School,LowIncPct,ReadHigh,ReadMed
JUNIATA COUNTY,MOUNTAIN VIEW EL SCH,39,42,21
CHAMBERSBURG AREA,COLDBROOK EL SCH,7,38,25
SOUTHERN YORK COUNTY,FRIENDSHIP EL SCH,16,25,38
CONESTOGA VALLEY,BROWNSTOWN EL SCH,10,25,38
KUTZTOWN AREA,ALBANY EL SCH,15,44,19
MECHANICSBURG AREA,SHIREMANSTOWN EL SCH,20,63,0
SOUTHERN TIOGA,LIBERTY EL SCH,31,33,30
HAZLETON AREA,LOCUST STREET EL SCH,34,37,26
MONTROSE AREA,CHOCONUT VALLEY EL SCH,23,25,38
MOUNTAIN VIEW,MOUNTAIN VIEW EL SCH,35,29,34
EAST STROUDSBURG AREA,SMITHFIELD EL SCH,24,31,32
PARKLAND,FOGELSVILLE SCH,4,37,26
PENNRIDGE,PATRICIA A GUTH EL SCH,16,31,32
ABINGTON,OVERLOOK SCH,26,35,28
METHACTON,EAGLEVILLE EL SCH,7,44,19
RIDLEY,EDGEWOOD EL SCH,11,31,32
WALLINGFRD SWARTHMRE,NETHER PROVIDENCE EL,9,34,29
BLUE MOUNTAIN,BLUE MT EAST EL SCH,18,32,31
DUBOIS AREA,PENFIELD EL SCH,49,29,33
FERNDALE AREA,FERNDALE EL SCH,52,35,27
ELLWOOD CITY AREA,PERRY TWP SCH,37,35,27
UNIONTOWN AREA,WHARTON SCH,36,20,42
KEYSTONE OAKS,FRED L AIKEN EL SCH,8,31,31
NORTH HILLS,NORTHWAY EL SCH,17,17,45
PLUM BOROUGH,STEVENSON EL SCH,13,37,25
SOUTH BUTLER CO.,PENN EL SCH,19,35,27
DUBOIS AREA,JUNIATA EL SCH,26,24,38
HEMPFIELD AREA,BOVARD EL SCH,39,26,36
HEMPFIELD AREA,WEST POINT EL SCH,10,33,29
NORWIN,HARTFORD HEIGHTS EL SCH,28,25,37
NORWIN,PENNSYLVANIA AVENUE EL,38,34,28
CENTRAL CAMBRIA,JACKSON EL SCH,39,31,31
SHANKSVILLE-STONYCRK,SHANKSVILLE-STONYCRK EL,25,38,24
PHILIPSBURG-OSCEOLA,PHILIPSBURG EL SCH,38,39,23
RED LION AREA,PLEASANT VIEW EL SCH,19,33,29
SOUTH WESTERN,MARKLE INTRMD SCH,10,32,30
SOUTHERN YORK COUNTY,SOUTHERN EL SCH,7,31,31
TUSCARORA,MERCERSBURG EL SCH,34,30,32
YORK SUBURBAN,EAST YORK EL SCH,13,30,32
COCALICO,DENVER EL SCH,24,24,38
CORNWALL-LEBANON,SOUTH LEBANON EL SCH,20,32,30
EXETER TOWNSHIP,MARTIN LUTHER LAUSCH EL,12,32,30
BIG SPRING,PLAINFIELD EL SCH,18,30,32
CENTRAL DAUPHIN,LAWNTON EL SCH,21,39,23
CENTRAL DAUPHIN,MIDDLE PAXTON EL SCH,9,33,29
CENTRAL DAUPHIN,MOUNTAIN VIEW EL SCH,13,33,29
WEST SHORE,FISHING CREEK EL SCH,19,29,33
CENTRAL COLUMBIA,CENTRAL COLUMBIA MS,12,29,33
LEWISBURG AREA,LEWISBURG MS,18,26,36
LACKAWANNA TRAIL,LACKAWANNA TRAIL EL CTR,34,38,24
BETHLEHEM AREA,FARMERSVILLE EL SCH,7,31,31
NAZARETH AREA,SHAFER EL SCH,17,23,39
PENNRIDGE,DEIBLER EL SCH,7,23,39
HATBORO-HORSHAM,CROOKED BILLET EL SCH,6,29,33
AVON GROVE,AVON GROVE EL SCH,17,40,22
AMBRIDGE AREA,ECONOMY EL SCH,10,28,34
SOUTH SIDE AREA,SOUTH SIDE EL SCH,39,28,34
SPRINGFIELD,RICHARDSON MS,56,28,33
PLUM BOROUGH,HOLIDAY PARK EL SCH,12,32,29
SOUTH BUTLER CO.,JEFFERSON EL SCH,17,32,29
CRAWFORD CENTRAL,FIRST DISTRICT EL SCH,47,37,24
GENERAL MCLANE,JAMES W PARKER MS,20,36,25
FOREST AREA,EAST FOREST EL SCH,45,26,35
GREENSBURG SALEM,METZGAR EL SCH,27,28,33
ALTOONA AREA,BAKER EL SCH,24,36,25
BEDFORD AREA,CUMBERLAND VLY EL SCH,46,46,15
NORTH STAR,NORTH STAR EAST EL & MS,47,19,42
BRADFORD AREA,WEST BRANCH SCH,42,22,39
ST. MARYS AREA,FOX TWP EL SCH,23,33,28
DALLASTOWN AREA,ORE VALLEY EL SCH,13,34,27
CONESTOGA VALLEY,LEOLA EL SCH,15,21,40
EASTERN LANCASTER CO.,SUMMIT VALLEY EL SCH,7,31,30
MANHEIM CENTRAL,DOE RUN EL SCH,15,39,22
MANHEIM TOWNSHIP,SCHAEFFER SCH,11,43,18
NORTHERN LEBANON,LICKDALE EL SCH,20,29,32
CENTRAL DAUPHIN,WEST HANOVER EL SCH,6,38,23
CUMBERLAND VALLEY,SHAULL EL SCH,2,28,33
HAZLETON AREA,ENCKE EL SCH,41,28,33
NORTHAMPTON AREA,MOORE TWP EL SCH,13,32,29
POCONO MOUNTAIN,BARRETT EL CTR,24,33,28
CENTENNIAL,LONGSTRETH EL SCH,15,24,37
MORRISVILLE BOROUGH,M R REITER EL SCH,14,45,16
NESHAMINY,SCHWEITZER EL SCH,18,28,33
PALISADES,SPRINGFIELD EL SCH,8,32,29
PENNSBURY,VILLAGE PARK SCH,20,29,32
COLONIAL,COLONIAL EL SCH,18,36,25
HATBORO-HORSHAM,PENNYPACK EL SCH,11,35,26
NORTH PENN,WALTON FARM EL SCH,10,35,26
UPPER DUBLIN,FITZWATER EL SCH,10,36,25
DOWNINGTOWN AREA,BEAVER CREEK EL SCH,11,30,31
INDIANA AREA,EAST PIKE EL SCH,33,34,27
CLEARFIELD AREA,THIRD WARD EL SCH,51,30,30
MONITEAU,DASSA MCKINNEY EL SCH,44,22,38
CANON-MCMILLAN,CECIL EL SCH,22,30,30
LAUREL HIGHLANDS,HATFIELD EL SCH,26,28,32
CORRY AREA,WRIGHT EL SCH,39,36,24
REDBANK VALLEY,MAHONING EL SCH,50,30,30
BURRELL,CHARLES A HUSTON MS,13,27,33
GREATER LATROBE,LATROBE EL SCH,30,32,28
MT PLEASANT AREA,DONEGAL EL SCH,46,30,30
NEW KENSINGTN-ARNLD,EDGEWOOD SCH,25,33,27
PENN TRAFFORD,TRAFFORD EL SCH,29,21,39
CAMBRIA HEIGHTS,CAMBRIA HEIGHTS EL SCH,50,21,39
SALISBURY-ELK LICK,SALISBURY-ELK LICK EL,43,24,36
SOMERSET AREA,SIPESVILLE EL SCH,30,30,30
SPRING COVE,FREEDOM EL SCH,45,32,28
RIDGWAY AREA,RIDGWAY EL SCH,27,34,26
MIFFLIN COUNTY,STRODES MILLS EL SCH,30,28,32
ANNVILLE CLEONA,NORTH ANNVILLE EL SCH,11,21,39
HEMPFIELD,FARMDALE EL SCH,14,24,36
MANHEIM CENTRAL,STIEGEL EL SCH,12,29,31
MANHEIM TOWNSHIP,BUCHER SCH,6,35,25
WARWICK,JOHN R BONFIELD EL SCH,14,30,30
SCHUYLKILL VALLEY,SCHUYLKILL VLY INTRMD,4,32,28
BIG SPRING,NEWVILLE EL SCH,21,30,30
GREENWOOD,GREENWOOD EL SCH,19,29,31
LINE MOUNTAIN,DALMATIA EL SCH,36,38,22
SOUTHERN COLUMBIA,HARTMAN EL CTR,21,22,38
CRESTWOOD,FAIRVIEW EL SCH,19,38,22
DELAWARE VALLEY,DELAWARE VALLEY EL SCH,24,31,29
CENTENNIAL,DAVIS EL SCH,16,33,27
NESHAMINY,HECKMAN EL SCH,4,33,27
NESHAMINY,MILLER EL SCH,10,25,35
QUAKERTOWN COMMUNITY,PFAFF EL SCH,13,30,30
NORTH PENN,KULP EL SCH,6,36,24
POTTSGROVE,RINGING ROCKS EL SCH,6,33,27
SPRING-FORD AREA,SPRING CITY EL SCH,20,36,24
NORTH SCHUYLKILL,RINGTOWN EL SCH,40,30,30
GROVE CITY AREA,HILLVIEW EL SCH,27,33,26
SENECA VALLEY,ROWAN EL SCH,11,26,33
PITTSBURGH,LIBERTY EL SCH,38,34,25
BALDWIN-WHITEHALL,WHITEHALL EL SCH,14,32,27
ELIZABETH FORWARD,MT VERNON EL SCH,21,32,27
NORTH HILLS,WEST VIEW EL SCH,25,24,35
SHALER AREA,JEFFERY EL SCH,22,22,37
CORRY AREA,COLUMBUS EL SCH,46,19,40
NORTH CLARION CO.,NORTH CLARION CO EL SCH,44,23,36
GREENSBURG SALEM,AMOS K HUTCHINSON EL,39,34,25
NORTHERN BEDFORD CO,NORTHERN BEDFORD CO EL,39,30,29
WESTMONT HILLTOP,WESTMONT HILLTOP MS,16,30,29
BRADFORD AREA,DERRICK CITY SCH,33,46,13
ST. MARYS AREA,S ST MARYS STREET EL,27,30,29
BELLEFONTE AREA,MARION-WALKER EL SCH,26,39,20
JUNIATA COUNTY,FERMANAGH-MIFFLNTWN EL,28,36,23
CHAMBERSBURG AREA,DUFFIELD EL SCH,9,35,24
DOVER AREA,KRALLTOWN EL SCH,16,28,31
GETTYSBURG AREA,KEEFAUVER EL SCH,36,40,19
DONEGAL,MAYTOWN EL SCH,12,39,20
ELIZABETHTOWN AREA,MILL RD EL SCH,18,23,36
NORTHERN LEBANON,EAST HANOVER EL SCH,12,22,37
NORTHERN LEBANON,FREDERICKSBURG EL SCH,17,43,16
TULPEHOCKEN AREA,BETHEL EL/JHS,15,26,33
TWIN VALLEY,TWIN VALLEY MS,15,26,33
WILSON,CORNWALL TERRACE EL SCH,14,24,35
JERSEY SHORE AREA,NIPPENOSE VALLEY EL SCH,19,41,18
SAYRE AREA,SNYDER EL SCH,39,34,25
HAZLETON AREA,ARTHUR STREET EL SCH,27,35,24
WILKES-BARRE AREA,MAFFETT STREET SCH,34,28,31
WYOMING AREA,TENTH STREET EL SCH,29,27,32
RIVERSIDE,RIVERSIDE EL SCH EAST,28,14,45
DELAWARE VALLEY,DINGMAN-DELAWARE MS,21,25,34
NAZARETH AREA,BUSHKILL EL SCH,6,24,35
SAUCON VALLEY,LOWER SAUCON EL SCH,13,32,27
NORTHWESTERN LEHIGH,NORTHWESTERN LEHIGH MS,11,25,34
NESHAMINY,TAWANKA EL SCH,12,27,32
PALISADES,BRIDGETON EL SCH,17,38,21
NORTH PENN,YORK AVENUE EL SCH,16,28,31
SPRING-FORD AREA,ROYERSFORD EL SCH,21,39,20
UPPER DUBLIN,FORT WASHINGTON EL SCH,10,32,27
UPPER MORELAND,ROUND MEADOW EL SCH,10,31,28
AVON GROVE,KEMBLESVILLE EL SCH,4,39,20
UPPER DARBY,GARRETTFORD EL SCH,6,28,31
ERIE CITY,CLEVELAND EL SCH,56,30,28
PUNXSUTAWNEY AREA,BIG RUN EL SCH,60,8,50
MERCER AREA,MERCER AREA EL SCH,31,30,28
SENECA VALLEY,EVANS CITY EL SCH,18,30,28
SOUTH BUTLER CO.,SAXONBURG EL SCH,23,38,20
MILLCREEK TWP.,TRACY EL SCH,49,22,36
DUBOIS AREA,OKLAHOMA EL SCH,25,27,31
PUNXSUTAWNEY AREA,LONGVIEW EL SCH,35,29,29
YOUGH,MENDON EL SCH,33,28,30
HOLLIDAYSBURG AREA,ALLEGHENY EL SCH #1,50,21,37
ROCKWOOD AREA,KINGWOOD EL SCH,28,16,42
SHADE CENTRAL CITY,CAIRNBROOK EL SCH,39,28,30
PHILIPSBURG-OSCEOLA,NORTH LINCOLN HILL EL,30,33,25
STATE COLLEGE AREA,BOALSBURG/PANORAMA VLG,12,29,29
SPRING GROVE AREA,SPRING GROVE AREA INT,12,26,32
COCALICO,REAMSTOWN EL SCH,15,26,32
EASTERN LEBANON COUNTY,FORT ZELLER EL SCH,14,22,36
EASTERN LEBANON COUNTY,MYERSTOWN EL SCH,19,26,32
NORTHERN LEBANON,JONESTOWN EL SCH,19,30,28
BOYERTOWN AREA,WASHINGTON EL SCH,11,29,29
EXETER TOWNSHIP,LORANE EL SCH,13,32,26
WILSON,LINCOLN PARK EL SCH,10,37,21
WYALUSING AREA,CAMPTOWN EL SCH,34,29,29
WALLENPAUPACK AREA,WALLENPAUPACK SOUTH EL,47,26,32
PARKLAND,IRONTON SCH,8,42,16
COUNCIL ROCK,CHURCHVILLE EL SCH,1,28,30
RIDLEY,AMOSLAND EL SCH,16,28,30
RIDLEY,GRACE PARK EL SCH,12,39,19
LEECHBURG AREA,LEECHBURG AREA EL SCH,33,28,30
WEST GREENE,ALEPPO EL SCH,56,33,24
PURCHASE LINE,PURCHASE LINE NORTH EL,61,24,33
BUTLER AREA,MERIDIAN SCH,18,34,23
KARNS CITY AREA,CHICORA EL SCH,26,20,37
MARS AREA,ADAMS INTRMD EL SCH,18,31,26
MONITEAU,WASHINGTON EL SCH,54,24,33
NESHANNOCK TOWNSHIP,NESHANNOCK MEMORIAL EL,11,27,30
CHARTIERS HOUSTON,ALLISON PARK EL SCH,28,32,25
ALLEGHENY VALLEY,COLFAX UPPER EL SCH,29,23,34
SHALER AREA,MARZOLF EL SCH,31,26,31
CRAWFORD CENTRAL,COCHRANTON AREA EL SCH,28,25,32
FORT LEBOEUF,ROBISON EL SCH,27,21,36
HEMPFIELD AREA,MAXWELL EL SCH,20,33,24
MT PLEASANT AREA,NORVELT EL SCH,26,32,25
NORWIN,HILLCREST EL SCH,21,28,29
PENN TRAFFORD,SUNRISE EL SCH,7,33,24
EVERETT AREA,EVERETT AREA EL SCH,54,30,27
SOMERSET AREA,FRIEDENS EL SCH,30,27,30
SOMERSET AREA,MAPLE RIDGE EL SCH,33,27,30
OSWAYO VALLEY,OSWAYO VALLEY EL SCH,40,22,35
BELLEFONTE AREA,PLEASANT GAP EL SCH,44,34,23
STATE COLLEGE AREA,PARK FOREST EL SCH,18,31,26
JUNIATA COUNTY,LACK-TUSCARORA EL SCH,52,19,38
MIFFLIN COUNTY,HIGHLAND PARK AREA EL,41,24,33
SOUTHERN HUNTINGDON CO.,SPRING FARMS EL SCH,30,18,39
ANNVILLE CLEONA,ANNVILLE EL SCH,19,25,32
CORNWALL-LEBANON,UNION CANAL EL SCH,25,29,28
SOLANCO,CLERMONT EL SCH,21,30,27
CUMBERLAND VALLEY,SILVER SPRING EL SCH,9,24,33
WEST PERRY,CARROLL EL SCH,20,21,36
WEST SHORE,NEWBERRY EL SCH,21,25,32
WEST SHORE,ROSSMOYNE EL SCH,9,30,27
MIFFLINBURG AREA,MIFFLINBURG AREA MS,31,25,32
DUNMORE,DUNMORE EL CTR,25,20,37
MID VALLEY,MID VALLEY EL CTR,35,27,30
VALLEY VIEW,VALLEY VIEW MS,22,21,36
WALLENPAUPACK AREA,WALLENPAUPACK NORTH EL,39,30,27
WEATHERLY AREA,WEATHERLY AREA EL SCH,26,21,36
BRISTOL TOWNSHIP,EMERSON EL SCH,20,18,39
QUAKERTOWN COMMUNITY,TOHICKON VALLEY EL SCH,16,21,36
NORTH SCHUYLKILL,ASHLAND AREA EL SCH,50,29,28
BUTLER AREA,CONNOQUENESSING EL SCH,32,27,29
BUTLER AREA,OAKLAND TWP SCH,30,27,29
MARS AREA,MIDDLESEX INTRMD EL SCH,24,33,23
ALBERT GALLATIN,A L WILSON EL SCH,52,30,26
PITTSBURGH,MINADEO EL SCH,41,32,24
QUAKER VALLEY,EDGEWORTH EL SCH,11,32,24
SOUTH BUTLER CO.,CLINTON EL SCH,27,17,39
SOUTH BUTLER CO.,WINFIELD EL SCH,22,22,34
CLARION-LIMESTONE AREA,CLARION-LIMSTNE EL SCH,31,21,35
TITUSVILLE AREA,PLEASANTVILLE EL SCH,35,29,27
HEMPFIELD AREA,FORT ALLEN EL SCH,17,31,25
ALTOONA AREA,JUNIATA GAP EL SCH,20,17,39
RICHLAND,RICHLAND MS,13,27,29
BALD EAGLE AREA,PORT MATILDA EL SCH,31,26,30
STATE COLLEGE AREA,EASTERLY PARKWAY EL SCH,22,40,16
JUNIATA COUNTY,THOMPSNTWN-DELAWARE EL,30,28,28
SOUTHERN HUNTINGDON CO.,TROUGH CREEK VALLEY EL,33,31,25
FAIRFIELD AREA,FAIRFIELD AREA MS,11,25,31
SOUTH EASTERN,STEWARTSTOWN EL SCH,7,23,33
EASTERN LANCASTER CO.,CAERNARVON EL SCH,12,15,41
EASTERN LEBANON COUNTY,SCHAEFFERSTOWN EL SCH,9,29,27
ELIZABETHTOWN AREA,EAST HIGH ST EL SCH,17,28,28
MANHEIM CENTRAL,BURGARD EL SCH,15,27,29
PALMYRA AREA,NORTHSIDE EL SCH,14,28,28
PENN MANOR,HAMBRIGHT EL SCH,17,25,31
PEQUEA VALLEY,LEACOCK EL SCH,21,28,28
WILSON,SINKING SPRING EL SCH,13,20,36
CARLISLE AREA,HAMILTON EL SCH,36,28,28
CUMBERLAND VALLEY,MIDDLESEX EL SCH,16,29,27
CUMBERLAND VALLEY,MONROE EL SCH,8,29,27
MIDDLETOWN AREA,DEMEY EL SCH,24,31,25
NORTHERN YORK CO,WELLSVILLE EL SCH,14,27,29
WEST PERRY,GREEN PARK EL SCH,24,28,28
BLOOMSBURG AREA,W W EVANS MEM EL SCH,29,28,28
MIDD-WEST,PERRY-WEST PERRY EL SCH,18,26,30
JERSEY SHORE AREA,SALLADASBURG EL SCH,30,28,28
LOYALSOCK TOWNSHIP,FOUR MILE SCH,26,25,31
SOUTHERN TIOGA,WARREN L MILLER EL SCH,39,23,33
TUNKHANNOCK AREA,TUNKHANNOCK MS,28,31,25
BLUE RIDGE,BLUE RIDGE EL SCH,23,28,28
BETHLEHEM AREA,CALYPSO EL SCH,21,14,42
BETHLEHEM AREA,FOUNTAIN HILL EL SCH,48,27,29
SALISBURY TOWNSHIP,HARRY S TRUMAN EL SCH,9,26,30
CENTENNIAL,LEARY EL SCH,25,28,28
PENNRIDGE,WEST ROCKHILL EL SCH,12,24,32
NORTH PENN,MONTGOMERY EL SCH,2,27,29
POTTSGROVE,LOWER POTTSGROVE EL SCH,24,27,29
INTERBORO,PROSPECT PARK SCH,15,28,28
PHILADELPHIA,ZIEGLER WILLIAM H SCH,49,17,39
ARMSTRONG,ELDERTON EL SCH,37,16,40
PHILADELPHIA,LOESCHE WILLIAM H SCH,62,19,36
STEEL VALLEY,PARK EL SCH,38,29,26
AVELLA AREA,AVELLA EL CENTER,33,15,40
CANON-MCMILLAN,SOUTH CENTRAL EL,48,23,32
BRENTWOOD BOROUGH,ELROY AVENUE EL SCH,17,29,26
ELIZABETH FORWARD,ELIZABETH EL SCH,28,41,14
WILMINGTON AREA,WILMINGTON AREA MS,25,26,29
ALTOONA AREA,WASHINGTON-JEFFERSON EL,49,24,31
FOREST HILLS,FOREST HILLS EL SCH,48,27,28
KANE AREA,MT JEWETT SCH,29,22,33
CHAMBERSBURG AREA,SCOTLAND EL SCH,13,36,19
TUSCARORA,MOUNTAIN VIEW EL SCH,24,33,22
TUSCARORA,ST THOMAS EL SCH,35,30,25
FLEETWOOD AREA,FLEETWOOD EL SCH,5,37,18
MUHLENBERG,MUHLENBERG MS,11,34,21
CUMBERLAND VALLEY,SPORTING HILL EL SCH,11,29,26
NORTHERN YORK CO,DILLSBURG EL SCH,11,31,24
SHIPPENSBURG AREA,NANCY GRAYSON EL SCH,17,25,30
WEST SHORE,RED MILL EL SCH,12,27,28
LINE MOUNTAIN,LECK KILL EL SCH,32,40,15
SELINSGROVE AREA,SELINSGROVE AREA MS,26,27,28
NORTHEAST BRADFORD,NORTHEAST BRADFORD EL,36,26,29
WILLIAMSPORT AREA,LEWIS TWP EL SCH,47,22,33
POCONO MOUNTAIN,TOBYHANNA EL CTR,24,28,27
CENTENNIAL,MCDONALD EL SCH,17,28,27
UPPER MORELAND,COLD SPRING EL SCH,11,33,22
GARNET VALLEY,GARNET VALLEY MS,2,28,27
BLACKHAWK,BLACKHAWK INTRMD SCH,26,23,32
SCHUYLKILL HAVEN,SCHUYLKILL HAVEN MS,24,28,27
CONNELLSVILLE AREA,SOUTH SIDE EL SCH,60,23,31
MIFFLIN COUNTY,SEVENTH WARD EL SCH,66,27,27
ELLWOOD CITY AREA,WALNUT RIDGE SCH,46,27,27
MCGUFFEY,MCGUFFEY INTRMD SCH,32,28,26
PITTSBURGH,BON AIR EL SCH,35,18,36
PITTSBURGH,WHITTIER EL SCH,58,34,20
FOX CHAPEL AREA,KERR EL SCH,21,27,27
NORTHGATE,AVALON EL SCH,31,36,18
CORRY AREA,CONCORD EL SCH,53,10,44
WARREN COUNTY,BEATY-WARREN MS,21,29,25
PUNXSUTAWNEY AREA,MARY A WILSON EL SCH,40,27,27
YOUGH,WEST NEWTON EL SCH,37,27,27
TUSSEY MOUNTAIN,SAXTON-LIBERTY GR SCH,36,26,28
CLEARFIELD AREA,LEONARD GRADE SCH,57,36,18
CURWENSVILLE AREA,CURWENSVILLE AREA EL SC,38,23,31
KEYSTONE CENTRAL,ROBB EL SCH,51,29,25
HUNTINGDON AREA,JACKSON-MILLER EL SCH,29,31,23
JUNIATA COUNTY,FAYETTE TWP EL SCH,33,29,25
CHAMBERSBURG AREA,GRANDVIEW EL SCH,22,44,10
LITTLESTOWN AREA,MAPLE AVENUE MS,19,27,27
EPHRATA AREA,BERGSTRASSE EL SCH,23,29,25
HAMBURG AREA,UPPER BERN EL SCH,7,23,31
CENTRAL DAUPHIN,PHILLIPS EL SCH,20,34,20
MILLERSBURG AREA,LENKERVILLE EL SCH,18,28,26
MIDD-WEST,MIDDLEBURG EL SCH,29,30,24
ATHENS AREA,MAIN EL SCH,41,27,27
WILLIAMSPORT AREA,WOODWARD TWP EL SCH,35,31,23
WILKES-BARRE AREA,MACKIN EL SCH,35,27,27
BETHLEHEM AREA,THOMAS JEFFERSON EL SCH,32,33,21
PALMERTON AREA,TOWAMENSING EL SCH,20,21,33
BENSALEM TOWNSHIP,VALLEY EL SCH,21,26,28
CENTENNIAL,WILLOW DALE EL SCH,22,32,22
PENN DELCO,PARKSIDE EL SCH,15,33,21
WILLIAM PENN,ARDMORE AVENUE SCH,28,26,28
HOPEWELL AREA,HOPEWELL JHS,26,24,30
WESTERN BEAVER CO.,SNYDER EL SCH,25,20,34
ARMSTRONG,SHANNOCK VALLEY EL SCH,44,22,32
MIFFLIN COUNTY,DERRY EL SCH,62,10,43
WEST MIFFLIN AREA,HOMEVILLE EL SCH,50,26,27
BUTLER AREA,SUMMIT EL SCH,35,25,28
BURGETTSTOWN AREA,ELDERSVILLE SCH,34,20,33
CHARTIERS VALLEY,CHARTIERS VALLEY INTRMC,28,28,25
RIVERVIEW,VERNER EL SCH,31,24,29
SHALER AREA,RESERVE EL SCH,32,20,33
PENNCREST,CUSSEWAGO EL SCH,22,11,42
BROCKWAY AREA,NORTH STREET SCH,34,23,30
FOREST AREA,WEST FOREST EL SCH,36,22,31
KEYSTONE,KEYSTONE EL SCH,47,26,27
BELLE VERNON AREA,MARION EL SCH,33,30,23
KISKI AREA,VANDERGRIFT EL SCH,44,28,25
SOUTHMORELAND,SCOTTDALE EL SCH,44,24,29
OTTO-ELDRED,OTTO-ELDRED EL SCH,54,24,29
RED LION AREA,CLEARVIEW EL SCH,20,31,22
TUSCARORA,MONTGOMERY EL SCH,28,23,30
ANNVILLE CLEONA,CLEONA EL SCH,6,29,24
COCALICO,SCHOENECK EL SCH,16,12,41
HEMPFIELD,EAST PETERSBURG EL SCH,20,23,30
HEMPFIELD,MOUNTVILLE EL SCH,8,33,20
PALMYRA AREA,PINE STREET EL SCH,11,32,21
SOLANCO,QUARRYVILLE EL SCH,26,21,32
HAMBURG AREA,HAMBURG EL SCH,18,28,25
EAST PENNSBORO AREA,EAST PENNSBORO AREA MS,16,22,31
HALIFAX AREA,HALIFAX AREA EL SCH,21,27,26
WEST SHORE,WASHINGTON HGTS EL SCH,22,32,21
BERWICK AREA,NESCOPECK EL SCH,22,27,26
MT. CARMEL AREA,KULPMONT EL SCH,43,28,25
ATHENS AREA,LYNCH EL SCH,33,22,31
JERSEY SHORE AREA,JERSEY SHORE AREA EL,44,19,34
NORTHERN TIOGA,MILLERTON EL SCH,35,53,0
SOUTH WILLIAMSPORT,DUBOISTOWN EL SCH,19,20,33
WYALUSING AREA,NEW ALBANY EL SCH,30,18,35
NORTH POCONO,JEFFERSON EL SCH,21,20,33
SCRANTON CITY,WILLIAM PRESCOTT #38,50,20,33
BANGOR AREA,DEFRANCO EL SCH,18,26,27
DELAWARE VALLEY,SHOHOLA EL SCH,20,28,25
WHITEHALL-COPLAY,WHITEHALL-COPLAY MS,5,27,26
BENSALEM TOWNSHIP,BELMONT HILLS EL SCH,34,26,27
SOUDERTON AREA,E M CROUTHAMEL EL SCH,13,23,30
OXFORD AREA,ELK RIDGE SCHOOL,27,24,29
PHOENIXVILLE AREA,SCHUYLKILL EL SCH,15,28,25
PENN DELCO,PENNELL EL SCH,10,23,30
AMBRIDGE AREA,HIGHLAND EL SCH,28,24,29
NEW BRIGHTON AREA,NEW BRIGHTON AREA EL,51,25,28
BLAIRSVILLE-SALTSBURG,BLAIRSVILLE EL SCH,45,27,26
BLUE MOUNTAIN,BLUE MT WEST EL SCH,23,28,25
SOUTH ALLEGHENY,PORT VUE EL SCH,39,26,26
SOUTH PARK,SOUTH PARK MS,18,22,30
ELLWOOD CITY AREA,HARTMAN SCH,52,29,23
CHARLEROI,CHARLEROI AREA EL CTR,34,22,30
FORT CHERRY,FORT CHERRY EL CTR,33,21,31
LAUREL HIGHLANDS,CLARK EL SCH,60,10,42
RINGGOLD,MONONGAHELA EL CTR,37,27,25
PITTSBURGH,EAST HILLS EL SCH,41,30,22
WEST MIDDLESEX AREA,OAKVIEW EL SCH,32,21,31
WATTSBURG AREA,WATTSBURG AREA MS,30,16,36
MT PLEASANT AREA,RAMSAY EL SCH,42,20,32
NORWIN,SCULL EL SCH,26,29,23
ALTOONA AREA,LOGAN EL SCH,37,27,25
BEDFORD AREA,BEDFORD INTRMD SCH,34,26,26
BERLIN BROTHERSVLY,BERLIN BROTHERSVLY EL,32,32,20
SPRING COVE,ROARING SPRING EL SCH,36,25,27
SMETHPORT AREA,SMETHPORT AREA EL SCH,38,26,26
ST. MARYS AREA,BENNETTS VALLEY EL SCH,39,33,19
GETTYSBURG AREA,FRANKLIN TWP EL SCH,27,34,18
SOUTH EASTERN,DELTA-PEACH BOTTOM EL S,12,16,36
CORNWALL-LEBANON,EBENEZER EL SCH,16,19,33
EPHRATA AREA,HIGHLAND EL SCH,18,25,27
LANCASTER,JAMES BUCHANAN EL SCH,25,29,23
WARWICK,LITITZ EL SCH,15,27,25
CENTRAL DAUPHIN,RUTHERFORD EL SCH,26,26,26
LOWER DAUPHIN,LONDONDERRY EL SCH,20,26,26
WEST SHORE,FAIRVIEW EL SCH,24,25,27
MIDD-WEST,WEST BEAVER EL SCH,30,31,21
MILLVILLE AREA,MILLVILLE AREA EL SCH,20,24,28
HAZLETON AREA,HEIGHTS TERRACE EL SCH,26,28,24
NORTHWEST AREA,HUNLOCK TOWNSHIP EL SCH,38,20,32
WILKES-BARRE AREA,DODSON EL SCH,43,26,26
WAYNE HIGHLANDS,PRESTON SCH,38,21,31
EAST STROUDSBURG AREA,MIDDLE SMITHFIELD EL,18,27,25
NESHAMINY,EVERITT EL SCH,17,24,28
PENN DELCO,GREEN RIDGE EL SCH,9,27,25
APOLLO-RIDGE,ELDERS RIDGE EL SCH,52,26,26
ERIE CITY,GLENWOOD EL SCH,71,21,30
CENTRAL GREENE,MILLER MS,33,25,26
FRAZIER,CENTRAL EL SCH,36,21,30
PITTSBURGH,REGENT SQUARE EL SCH,52,15,36
HIGHLANDS,FAWN EL SCH,27,23,28
PENN HILLS,PENN HEBRON EL SCH,43,28,23
PENNCREST,SAEGERTOWN EL SCH,28,28,23
FRANKLIN AREA,CENTRAL EL SCH,57,14,37
PUNXSUTAWNEY AREA,MAPLEVIEW EL SCH,49,27,24
